TeamID,Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
0217e4d8,2020-2021,vs Waas-Beveren,36,25.8,,34,,,,70.0,,,65.0,5.0,9.0,,,67.5,60.6,53.2,113.8,723.0,1798.0
ecd34b98,2020-2021,vs Zulte Waregem,26,,,34,,,,,,,,,,,,70.1,64.7,52.1,116.8,603.0,1505.0
08ad393c,2021-2022,vs Anderlecht,25,,,34,,,,,,,,,,,,37.0,34.8,26.4,61.2,505.0,1274.0
c2e6b53b,2021-2022,vs Antwerp,31,,,34,,,,,,,,,,,,50.0,47.7,37.5,85.2,599.0,1328.0
c16e44ce,2021-2022,vs Beerschot,33,,,34,,,,,,,,,,,,62.1,57.4,47.5,104.9,667.0,1680.0
e8d2adc4,2021-2022,vs Cercle Brugge,25,,,34,,,,,,,,,,,,42.4,40.9,32.0,72.9,454.0,1171.0
140e320a,2021-2022,vs Charleroi,34,,,34,,,,,,,,,,,,48.3,45.1,33.8,78.9,584.0,1496.0
f1e6c5f1,2021-2022,vs Club Brugge,31,,,34,,,,,,,,,,,,37.5,35.1,29.1,64.2,523.0,1178.0
5809ddc3,2021-2022,vs Eupen,34,,,34,,,,,,,,,,,,63.1,54.2,40.8,95.0,598.0,1542.0
1e972a99,2021-2022,vs Genk,27,,,34,,,,,,,,,,,,42.6,39.5,31.3,70.8,505.0,1215.0
51e5a603,2021-2022,vs Gent,28,,,34,,,,,,,,,,,,37.7,32.5,26.6,59.1,581.0,1255.0
77193015,2021-2022,vs Kortrijk,32,,,34,,,,,,,,,,,,56.8,53.1,44.7,97.8,552.0,1698.0
09f00144,2021-2022,vs Mechelen,27,,,34,,,,,,,,,,,,56.5,54.1,42.6,96.7,504.0,1191.0
27e981a3,2021-2022,vs OH Leuven,30,,,34,,,,,,,,,,,,53.5,52.0,41.0,93.0,792.0,1630.0
95b895fe,2021-2022,vs Oostende,30,,,34,,,,,,,,,,,,58.4,58.4,48.4,106.8,567.0,1408.0
89e806ff,2021-2022,vs Seraing,29,25.6,,34,,,,64.0,,,54.0,10.0,12.0,,,59.5,50.4,39.8,90.2,606.0,1656.0
80328a1e,2021-2022,vs Sint-Truiden,32,,,34,,,,,,,,,,,,44.4,41.3,35.0,76.3,549.0,1554.0
33c6b26e,2021-2022,vs Standard Liège,38,,,34,,,,,,,,,,,,51.8,50.2,36.1,86.3,584.0,1432.0
e14f61a5,2021-2022,vs Union SG,25,,,34,,,,,,,,,,,,33.0,29.1,21.8,50.9,541.0,1307.0
ecd34b98,2021-2022,vs Zulte Waregem,27,,,34,,,,,,,,,,,,71.8,65.8,50.4,116.2,713.0,1726.0
08ad393c,2022-2023,vs Anderlecht,33,25.4,45.7,34,374.0,3060.0,34.0,41.0,33.0,74.0,39.0,2.0,2.0,77.0,5.0,43.5,42.0,33.0,75.0,528.0,1210.0
c2e6b53b,2022-2023,vs Antwerp,32,25.2,43.4,34,374.0,3060.0,34.0,26.0,18.0,44.0,24.0,2.0,3.0,84.0,9.0,29.5,27.2,20.9,48.1,537.0,1165.0
e8d2adc4,2022-2023,vs Cercle Brugge,27,25.6,56.1,34,374.0,3060.0,34.0,44.0,25.0,69.0,32.0,12.0,15.0,63.0,5.0,46.3,35.6,30.7,66.3,458.0,1053.0
140e320a,2022-2023,vs Charleroi,29,25.4,48.1,34,374.0,3060.0,34.0,45.0,37.0,82.0,42.0,3.0,3.0,51.0,5.0,43.4,41.0,33.4,74.4,557.0,1356.0
f1e6c5f1,2022-2023,vs Club Brugge,32,25.3,41.9,34,374.0,3060.0,34.0,34.0,25.0,59.0,32.0,2.0,3.0,75.0,8.0,36.6,34.1,25.3,59.4,543.0,1106.0
5809ddc3,2022-2023,vs Eupen,30,25.4,53.2,34,374.0,3060.0,34.0,72.0,51.0,123.0,65.0,7.0,11.0,69.0,4.0,61.6,53.3,41.1,94.4,625.0,1433.0
1e972a99,2022-2023,vs Genk,28,25.5,46.1,34,374.0,3060.0,34.0,37.0,22.0,59.0,32.0,5.0,7.0,86.0,4.0,39.3,33.8,26.9,60.7,548.0,1236.0
51e5a603,2022-2023,vs Gent,31,25.1,44.2,34,374.0,3060.0,34.0,38.0,24.0,62.0,31.0,7.0,7.0,74.0,5.0,34.3,28.8,22.1,50.8,591.0,1208.0
77193015,2022-2023,vs Kortrijk,32,25.5,50.5,34,374.0,3060.0,34.0,58.0,40.0,98.0,51.0,7.0,9.0,70.0,5.0,63.0,55.9,41.9,97.8,636.0,1568.0
09f00144,2022-2023,vs Mechelen,31,25.2,48.1,34,374.0,3060.0,34.0,63.0,40.0,103.0,54.0,9.0,9.0,63.0,5.0,52.2,45.2,32.6,77.7,590.0,1322.0
27e981a3,2022-2023,vs OH Leuven,29,25.3,49.0,34,374.0,3060.0,34.0,47.0,29.0,76.0,40.0,7.0,9.0,91.0,6.0,49.3,42.3,33.2,75.6,790.0,1520.0
95b895fe,2022-2023,vs Oostende,33,25.4,56.8,34,374.0,3060.0,34.0,75.0,54.0,129.0,70.0,5.0,10.0,53.0,2.0,61.5,53.5,42.9,96.4,615.0,1448.0
89e806ff,2022-2023,vs Seraing,31,25.5,59.4,34,374.0,3060.0,34.0,65.0,46.0,111.0,59.0,6.0,7.0,55.0,4.0,54.6,49.1,38.6,87.7,590.0,1790.0
80328a1e,2022-2023,vs Sint-Truiden,24,25.3,55.9,34,374.0,3060.0,34.0,38.0,18.0,56.0,33.0,5.0,5.0,59.0,5.0,39.3,35.4,27.3,62.6,527.0,1408.0
33c6b26e,2022-2023,vs Standard Liège,30,25.4,48.8,34,374.0,3060.0,34.0,43.0,29.0,72.0,37.0,6.0,6.0,73.0,6.0,43.9,39.4,30.8,70.1,535.0,1365.0
e14f61a5,2022-2023,vs Union SG,26,25.3,48.3,34,374.0,3060.0,34.0,39.0,28.0,67.0,32.0,7.0,9.0,81.0,5.0,38.2,31.1,26.1,57.3,542.0,1265.0
57b6cfb8,2022-2023,vs Westerlo,26,25.2,50.3,34,374.0,3060.0,34.0,53.0,36.0,89.0,44.0,9.0,9.0,67.0,7.0,49.7,42.8,33.9,76.7,607.0,1572.0
ecd34b98,2022-2023,vs Zulte Waregem,36,25.3,53.3,34,374.0,3060.0,34.0,76.0,51.0,127.0,68.0,8.0,9.0,70.0,3.0,60.5,53.7,40.7,94.4,750.0,1470.0
08ad393c,2023-2024,vs Anderlecht,32,25.0,47.0,30,330.0,2700.0,30.0,30.0,17.0,47.0,27.0,3.0,4.0,71.0,5.0,36.6,34.1,26.0,60.2,527.0,1255.0
c2e6b53b,2023-2024,vs Antwerp,27,25.2,40.7,30,330.0,2700.0,30.0,26.0,15.0,41.0,21.0,5.0,5.0,71.0,5.0,31.9,28.0,21.5,49.5,428.0,1054.0
e8d2adc4,2023-2024,vs Cercle Brugge,27,25.3,55.0,30,330.0,2700.0,30.0,32.0,24.0,56.0,32.0,0.0,1.0,67.0,4.0,39.2,38.4,28.8,67.2,410.0,1010.0
140e320a,2023-2024,vs Charleroi,30,24.9,52.2,30,330.0,2700.0,30.0,47.0,33.0,80.0,42.0,5.0,5.0,34.0,5.0,46.0,42.1,31.5,73.6,550.0,1340.0
f1e6c5f1,2023-2024,vs Club Brugge,29,25.1,43.2,30,330.0,2700.0,30.0,29.0,24.0,53.0,29.0,0.0,3.0,67.0,4.0,26.2,23.9,19.4,43.3,413.0,877.0
5809ddc3,2023-2024,vs Eupen,26,25.1,55.4,30,330.0,2700.0,30.0,54.0,36.0,90.0,50.0,4.0,6.0,49.0,3.0,57.5,52.9,41.6,94.5,590.0,1500.0
1e972a99,2023-2024,vs Genk,26,25.2,46.1,30,330.0,2700.0,30.0,31.0,22.0,53.0,29.0,2.0,3.0,69.0,0.0,33.4,30.9,24.2,55.2,464.0,1031.0
51e5a603,2023-2024,vs Gent,32,25.2,45.7,30,330.0,2700.0,30.0,38.0,24.0,62.0,30.0,8.0,11.0,79.0,1.0,42.8,34.3,27.5,61.8,558.0,1201.0
77193015,2023-2024,vs Kortrijk,36,25.1,57.0,30,330.0,2700.0,30.0,53.0,35.0,88.0,52.0,1.0,2.0,44.0,1.0,54.9,53.4,40.9,94.3,588.0,1589.0
09f00144,2023-2024,vs Mechelen,30,25.0,49.1,30,330.0,2700.0,30.0,33.0,23.0,56.0,32.0,1.0,4.0,55.0,5.0,42.4,39.2,29.2,68.4,529.0,1353.0
27e981a3,2023-2024,vs OH Leuven,29,25.1,56.0,30,330.0,2700.0,30.0,45.0,30.0,75.0,38.0,7.0,8.0,66.0,2.0,44.8,38.5,31.5,69.9,611.0,1525.0
e423ea45,2023-2024,vs RWDM,38,25.0,56.5,30,330.0,2700.0,30.0,65.0,41.0,106.0,53.0,12.0,15.0,41.0,0.0,65.5,53.5,42.3,95.8,564.0,1462.0
80328a1e,2023-2024,vs Sint-Truiden,25,25.2,43.7,30,330.0,2700.0,30.0,46.0,34.0,80.0,41.0,5.0,5.0,55.0,5.0,44.2,40.3,31.4,71.7,500.0,1122.0
33c6b26e,2023-2024,vs Standard Liège,34,25.4,49.7,30,330.0,2700.0,30.0,41.0,23.0,64.0,35.0,6.0,7.0,55.0,3.0,43.6,38.6,29.1,67.7,538.0,1296.0
e14f61a5,2023-2024,vs Union SG,26,24.9,50.4,30,330.0,2700.0,30.0,31.0,23.0,54.0,28.0,3.0,3.0,84.0,3.0,27.0,24.7,20.1,44.8,373.0,1050.0
57b6cfb8,2023-2024,vs Westerlo,32,25.1,52.5,30,330.0,2700.0,30.0,52.0,41.0,93.0,49.0,3.0,3.0,48.0,3.0,48.8,46.5,38.1,84.6,517.0,1319.0
08ad393c,2024-2025,vs Anderlecht,37,24.9,44.1,40,440.0,3600.0,40.0,40.0,27.0,67.0,39.0,1.0,4.0,93.0,7.0,,,,,,
c2e6b53b,2024-2025,vs Antwerp,36,24.8,47.6,40,440.0,3600.0,40.0,48.0,33.0,81.0,44.0,4.0,8.0,78.0,4.0,,,,,,
c16e44ce,2024-2025,vs Beerschot Wilrijk,32,24.9,51.7,36,396.0,3240.0,36.0,68.0,42.0,110.0,58.0,10.0,11.0,61.0,3.0,,,,,,
e8d2adc4,2024-2025,vs Cercle Brugge,29,24.9,53.8,36,396.0,3240.0,36.0,57.0,42.0,99.0,52.0,5.0,6.0,84.0,6.0,,,,,,
140e320a,2024-2025,vs Charleroi,30,24.8,47.2,40,440.0,3600.0,40.0,44.0,30.0,74.0,41.0,3.0,4.0,69.0,5.0,,,,,,
f1e6c5f1,2024-2025,vs Club Brugge,25,25.0,41.4,40,440.0,3600.0,40.0,40.0,31.0,71.0,37.0,3.0,4.0,90.0,5.0,,,,,,
868afa3f,2024-2025,vs Dender,28,24.7,55.5,40,440.0,3600.0,40.0,70.0,46.0,116.0,60.0,10.0,10.0,56.0,2.0,,,,,,
1e972a99,2024-2025,vs Genk,28,25.1,42.3,40,440.0,3600.0,40.0,44.0,31.0,75.0,39.0,5.0,8.0,91.0,4.0,,,,,,
51e5a603,2024-2025,vs Gent,38,24.8,49.9,40,440.0,3600.0,40.0,63.0,46.0,109.0,60.0,3.0,5.0,79.0,4.0,,,,,,
77193015,2024-2025,vs Kortrijk,34,24.8,55.2,36,396.0,3240.0,36.0,60.0,45.0,105.0,58.0,2.0,2.0,75.0,4.0,,,,,,
09f00144,2024-2025,vs Mechelen,29,24.6,46.7,40,440.0,3600.0,40.0,53.0,36.0,89.0,48.0,5.0,6.0,72.0,4.0,,,,,,
27e981a3,2024-2025,vs OH Leuven,37,24.7,51.1,40,440.0,3600.0,40.0,50.0,36.0,86.0,45.0,5.0,6.0,78.0,5.0,,,,,,
80328a1e,2024-2025,vs Sint-Truiden,32,24.8,52.3,36,396.0,3240.0,36.0,64.0,35.0,99.0,52.0,12.0,13.0,60.0,6.0,,,,,,
33c6b26e,2024-2025,vs Standard Liège,39,24.8,58.4,40,440.0,3600.0,40.0,42.0,30.0,72.0,41.0,1.0,2.0,87.0,3.0,,,,,,
e14f61a5,2024-2025,vs Union SG,29,24.8,52.0,40,440.0,3600.0,40.0,28.0,19.0,47.0,27.0,1.0,3.0,107.0,7.0,,,,,,
57b6cfb8,2024-2025,vs Westerlo,32,25.0,52.2,40,440.0,3600.0,40.0,61.0,40.0,101.0,54.0,7.0,11.0,74.0,3.0,,,,,,
08ad393c,2025-2026,vs Anderlecht,29,25.5,46.3,24,264.0,2160.0,24.0,30.0,19.0,49.0,25.0,5.0,5.0,66.0,1.0,,,,,,
c2e6b53b,2025-2026,vs Antwerp,31,25.1,51.0,24,264.0,2160.0,24.0,26.0,20.0,46.0,24.0,2.0,3.0,46.0,6.0,,,,,,
e8d2adc4,2025-2026,vs Cercle Brugge,27,25.3,52.5,24,264.0,2160.0,24.0,37.0,24.0,61.0,33.0,4.0,4.0,45.0,2.0,,,,,,
140e320a,2025-2026,vs Charleroi,31,25.2,52.1,24,264.0,2160.0,24.0,28.0,19.0,47.0,22.0,6.0,6.0,40.0,2.0,,,,,,
f1e6c5f1,2025-2026,vs Club Brugge,29,25.4,36.9,24,264.0,2160.0,24.0,28.0,20.0,48.0,26.0,2.0,3.0,62.0,2.0,,,,,,
868afa3f,2025-2026,vs Dender,29,25.0,53.0,24,264.0,2160.0,24.0,37.0,28.0,65.0,34.0,3.0,4.0,34.0,0.0,,,,,,
1e972a99,2025-2026,vs Genk,25,25.1,38.2,24,264.0,2160.0,24.0,34.0,21.0,55.0,31.0,3.0,3.0,61.0,6.0,,,,,,
51e5a603,2025-2026,vs Gent,29,25.2,48.0,24,264.0,2160.0,24.0,34.0,23.0,57.0,32.0,2.0,2.0,51.0,0.0,,,,,,
11474078,2025-2026,vs La Louvière,27,25.3,63.5,24,264.0,2160.0,24.0,27.0,19.0,46.0,23.0,4.0,6.0,40.0,1.0,,,,,,
09f00144,2025-2026,vs Mechelen,30,25.3,50.5,24,264.0,2160.0,24.0,24.0,17.0,41.0,18.0,6.0,7.0,41.0,2.0,,,,,,
27e981a3,2025-2026,vs OH Leuven,27,25.0,54.8,24,264.0,2160.0,24.0,33.0,21.0,54.0,29.0,4.0,5.0,60.0,1.0,,,,,,
80328a1e,2025-2026,vs Sint-Truiden,24,25.2,46.8,24,264.0,2160.0,24.0,25.0,21.0,46.0,23.0,2.0,2.0,55.0,6.0,,,,,,
33c6b26e,2025-2026,vs Standard Liège,30,25.2,55.7,24,264.0,2160.0,24.0,30.0,24.0,54.0,30.0,0.0,0.0,45.0,1.0,,,,,,
e14f61a5,2025-2026,vs Union SG,29,25.3,46.9,24,264.0,2160.0,24.0,13.0,5.0,18.0,10.0,3.0,3.0,62.0,4.0,,,,,,
57b6cfb8,2025-2026,vs Westerlo,29,25.4,50.5,24,264.0,2160.0,24.0,35.0,27.0,62.0,35.0,0.0,1.0,45.0,0.0,,,,,,
ecd34b98,2025-2026,vs Zulte Waregem,23,25.2,52.7,24,264.0,2160.0,24.0,34.0,28.0,62.0,33.0,1.0,2.0,53.0,3.0,,,,,,
